channel,pageOpen,payEnd,payId,payStart,referCode,srcCode,ts,userId,vc
XIAOMI,5029,1646645236683,72252f51db3a,1646645234683,4020,4017,1646645235683,2087699046,3.0
APPLE,5029,1646645238683,c0460e847bae,1646645234683,5020,5029,1646645235683,595143963,3.0
VIVO,5020,0,a6771bccd459,1646645232683,5029,5020,1646645235683,1066585630,3.0
VIVO,4017,0,18f9eee54de2,1646645233683,5020,5029,1646645235683,581811470,1.0
HUAWEI,5021,1646645237683,3de183d47503,1646645233683,5020,4019,1646645235683,1637256342,3.0
HUAWEI,5020,1646645238683,1dc1cea1b665,1646645232683,4020,4017,1646645235683,1962891097,3.0
VIVO,5029,1646645238683,b64bf035add4,1646645233683,4020,5020,1646645235683,1176507552,2.0
HUAWEI,4020,1646645236683,36b85eb7fd9d,1646645234683,4019,5020,1646645235683,2094913101,2.0
XIAOMI,4020,1646645237683,081b9bf0d21f,1646645232683,4020,4019,1646645235683,1302004672,2.0
XIAOMI,5021,1646645236683,016796e8af4c,1646645232683,5021,5021,1646645235683,566085399,2.0
APPLE,4019,1646645236683,a984c6987ed8,1646645232683,5020,4017,1646645235683,718219663,1.0
OPPO,4020,1646645236683,2657153a233b,1646645234683,5029,5020,1646645235683,1243032614,1.0
APPLE,4020,1646645237683,91849f21f4ca,1646645232683,4020,4017,1646645235683,1839726464,1.0
XIAOMI,4017,0,07d354843749,1646645234683,4017,5021,1646645235683,1609262282,3.0
VIVO,4019,1646645236683,1c8e35a00852,1646645232683,5029,4020,1646645235683,559094747,1.0
XIAOMI,4020,1646645236683,931bb5878339,1646645234683,4020,4019,1646645235683,1954749038,2.0
APPLE,4017,1646645236683,e8b24d092891,1646645232683,5021,5020,1646645235683,1030444441,1.0
APPLE,4020,1646645238683,7a0d930f0c63,1646645233683,5029,4020,1646645235683,951489025,3.0
OPPO,5021,1646645237683,75eb6622b732,1646645232683,5021,5029,1646645235683,60457341,1.0
XIAOMI,4017,1646645237683,85a448ecf7f6,1646645233683,4019,4017,1646645235683,909240896,2.0
VIVO,5029,0,65a3bc075eff,1646645233683,5021,5021,1646645235683,299573569,2.0
HUAWEI,4019,1646645236683,88b5d75d6fc4,1646645233683,4017,4020,1646645235683,1890982819,3.0
HUAWEI,4019,0,6a5365900556,1646645232683,5029,5029,1646645235683,438630768,2.0
APPLE,4019,0,135ab4110338,1646645233683,5020,4019,1646645235683,1776785069,2.0
OPPO,4019,1646645237683,d62493b619fe,1646645234683,5029,5020,1646645235683,2086102228,3.0
APPLE,5021,1646645237683,98ac7592bde5,1646645234683,4017,4017,1646645235683,698752845,2.0
HUAWEI,5021,0,d2b8fa6fcebc,1646645232683,4020,5021,1646645235683,552812415,2.0
OPPO,5020,1646645237683,769ba3fba246,1646645234683,5020,5021,1646645235683,1535807379,1.0
OPPO,5021,1646645237683,18265b00985a,1646645234683,5021,4017,1646645235683,1388702641,1.0
APPLE,4020,0,7961d6baff82,1646645232683,4020,4020,1646645235683,1555720281,1.0
OPPO,4019,1646645237683,b98d9124af0c,1646645234683,5029,4017,1646645235683,484252545,2.0
XIAOMI,5020,1646645237683,ccbf978a1c03,1646645234683,5029,4020,1646645235683,1004129065,3.0
APPLE,5021,1646645236683,7628b231c12c,1646645233683,4019,5020,1646645235683,99089365,2.0
VIVO,4017,1646645237683,86731404923c,1646645233683,5029,4017,1646645235683,1024314667,2.0
XIAOMI,4020,1646645236683,8043d19fd7b4,1646645233683,5021,4019,1646645235683,1101201956,3.0
OPPO,4019,0,934bc6df64e1,1646645233683,4020,4019,1646645235683,1428917944,2.0
VIVO,5021,1646645236683,364d81ab8436,1646645232683,5021,5029,1646645235683,661266654,3.0
APPLE,4017,1646645237683,add842d9c3e6,1646645232683,5020,4019,1646645235683,835962077,1.0
HUAWEI,4017,1646645238683,3c01e5add37c,1646645232683,4020,5020,1646645235683,907219781,2.0
OPPO,4020,1646645236683,4c159b3acfc7,1646645234683,4017,5020,1646645235683,2025888410,2.0
HUAWEI,4017,1646645236683,64314b4c5d34,1646645232683,5029,4019,1646645235683,1119890482,2.0
HUAWEI,5029,1646645237683,292bfef39a8c,1646645232683,4020,4017,1646645235683,397222066,1.0
OPPO,4019,1646645238683,4e9e3da7cd02,1646645232683,4020,4019,1646645235683,12550957,2.0
VIVO,5021,0,8db7aa4e9959,1646645234683,5021,4020,1646645235683,1976445034,2.0
XIAOMI,5020,1646645236683,599dfbf01246,1646645232683,4019,4019,1646645235683,1395760155,3.0
XIAOMI,4020,0,1d6dca4f0100,1646645233683,4019,4019,1646645235683,245954178,1.0
HUAWEI,4020,0,9fb00edc4a8b,1646645234683,4019,5029,1646645235683,439580602,2.0
APPLE,4020,1646645236683,42d56ad6d61b,1646645234683,4017,4020,1646645235683,1022765205,2.0
VIVO,4020,0,724cace398f2,1646645234683,4019,5021,1646645235683,1135120783,1.0
OPPO,4019,1646645238683,1233651f9d02,1646645233683,5021,4017,1646645235683,570564634,2.0
XIAOMI,4020,1646645236683,c607c83f5c4a,1646645232683,4017,4017,1646645235683,1757913013,1.0
APPLE,5029,1646645238683,419c5da9d4f7,1646645234683,5021,5021,1646645235683,1362807272,2.0
VIVO,5020,1646645236683,eeedf8fe5e8f,1646645234683,4017,4020,1646645235683,72437707,1.0
HUAWEI,4019,0,0f7650f84d5b,1646645232683,4017,4017,1646645235683,2091825486,3.0
APPLE,5021,0,f798974f182e,1646645233683,4017,4017,1646645235683,1885294009,2.0
HUAWEI,4017,1646645236683,3e71f2c22cb4,1646645234683,5029,5029,1646645235683,847327958,1.0
APPLE,5029,1646645236683,86dde2507938,1646645232683,4020,4017,1646645235683,859609887,1.0
XIAOMI,5020,1646645237683,323b50ea5024,1646645233683,4019,5021,1646645235683,48677166,1.0
OPPO,5021,1646645238683,a67b495e4ef8,1646645232683,4017,4019,1646645235683,1968136314,3.0
OPPO,4020,1646645238683,568f23ba66ac,1646645234683,4020,4020,1646645235683,377329492,2.0
XIAOMI,4020,1646645237683,b3b813d6f20e,1646645234683,4019,4020,1646645235683,814764740,1.0
APPLE,4020,1646645236683,8803d7fbeb51,1646645233683,5029,4019,1646645235683,1402313549,2.0
OPPO,5029,1646645238683,8d4465d93784,1646645232683,4019,4020,1646645235683,2083951019,1.0
HUAWEI,4017,1646645236683,6eb58042beaa,1646645233683,5020,4020,1646645235683,35592524,3.0
XIAOMI,4020,1646645236683,9f731c6e1616,1646645233683,5020,5021,1646645235683,403326104,2.0
OPPO,5021,1646645236683,b17159cc3631,1646645234683,4020,4020,1646645235683,1878697652,2.0
VIVO,4020,1646645237683,e5959983a05d,1646645233683,5029,4017,1646645235683,1207205461,3.0
XIAOMI,4017,1646645238683,fe50df7effc2,1646645233683,5029,4017,1646645235683,1877352004,2.0
OPPO,4020,1646645237683,f929235145f1,1646645234683,4020,5029,1646645235683,827920952,2.0
HUAWEI,4020,1646645236683,0b3c89c7e808,1646645234683,4017,5029,1646645235683,626722641,2.0
XIAOMI,5020,1646645236683,8ca8d3883d85,1646645234683,4019,4019,1646645235683,73218941,1.0
APPLE,4017,0,8bce4374d124,1646645232683,5020,4020,1646645235683,1722022183,1.0
OPPO,4017,0,c87392a72cf2,1646645232683,4019,5021,1646645235683,2050242169,3.0
APPLE,5021,1646645237683,fd5ddf7321f1,1646645233683,4019,4019,1646645235683,950796832,3.0
APPLE,5021,0,c9b9db715d13,1646645233683,4017,4020,1646645235683,1356947535,1.0
VIVO,5021,1646645238683,136fe0db1191,1646645234683,5020,5020,1646645235683,997600776,3.0
VIVO,5020,1646645236683,4f8f3e774e83,1646645234683,5029,4017,1646645235683,1541351447,1.0
APPLE,4019,1646645237683,b7d7ddd44151,1646645234683,4019,5029,1646645235683,446319565,3.0
OPPO,4019,1646645236683,537b5a87de0d,1646645232683,5020,5021,1646645235683,881086954,3.0
APPLE,4017,1646645237683,8dead267df22,1646645234683,5020,4017,1646645235683,9186084,1.0
XIAOMI,5021,1646645238683,b04bc8396a80,1646645232683,4017,5021,1646645235683,524215086,3.0
XIAOMI,4020,1646645236683,6e6ff57273c7,1646645233683,4017,4017,1646645235683,1055231877,2.0
APPLE,5029,1646645238683,5dc307c7e8c3,1646645233683,5029,4020,1646645235683,382975958,3.0
APPLE,4019,1646645238683,0fc2e1cabcc1,1646645233683,4017,5021,1646645235683,1229036726,2.0
HUAWEI,5021,1646645236683,ba98a7e95b7c,1646645233683,4020,5020,1646645235683,693044809,3.0
XIAOMI,4019,1646645236683,3c16132c11a8,1646645234683,5020,4017,1646645235683,1745299857,3.0
HUAWEI,5021,1646645237683,090f0ec16713,1646645232683,4017,5020,1646645235683,2061691194,1.0
APPLE,5020,0,1dfc7d17f3e5,1646645233683,5021,4017,1646645235683,962533204,3.0
XIAOMI,4020,1646645238683,542ef3c64e8c,1646645232683,4017,4020,1646645235683,1044506593,1.0
APPLE,5021,0,ed9389a10383,1646645233683,5020,5021,1646645235683,243060064,2.0
APPLE,5020,1646645236683,40a45644d5cb,1646645232683,4017,5021,1646645235683,1679557494,1.0
HUAWEI,5021,0,6248338cd815,1646645233683,4020,4019,1646645235683,1999633085,2.0
XIAOMI,4017,0,97cc165b6003,1646645233683,4019,5021,1646645235683,1288512612,3.0
XIAOMI,5029,0,efd0b61c00f0,1646645233683,5021,5021,1646645235683,1391005336,3.0
OPPO,5021,1646645238683,1721ece5dbcf,1646645234683,5020,4017,1646645235683,316290788,3.0
OPPO,5020,0,7b60c2be47fe,1646645234683,5021,5029,1646645235683,672266226,2.0
VIVO,4017,1646645236683,4b4734e01549,1646645232683,5029,5029,1646645235683,1032392029,3.0
XIAOMI,4020,1646645237683,8c7658d6cb6e,1646645233683,5020,4020,1646645235683,1602627404,2.0
OPPO,4019,1646645237683,93648f289cec,1646645233683,4019,5029,1646645235683,2098704750,2.0
VIVO,4019,1646645238683,a76e0b8ae3bd,1646645233683,4020,5021,1646645235683,1637444274,3.0
APPLE,4019,1646645236683,fece840bb66b,1646645234683,5029,4020,1646645235683,572754916,1.0
OPPO,4017,0,508d3ad51e4e,1646645232683,4019,5021,1646645235683,2046626830,2.0
HUAWEI,5029,0,ef257fc1f1bf,1646645234683,5021,4020,1646645235683,1838431653,1.0
OPPO,4019,1646645238683,841019f1ed81,1646645234683,4019,5020,1646645235683,1285452543,3.0
VIVO,4017,1646645237683,c814fd1d81cc,1646645234683,5020,5029,1646645235683,816214641,3.0
XIAOMI,5020,0,786fcfc184ca,1646645233683,5021,4017,1646645235683,1868393141,2.0
VIVO,4019,1646645236683,b61865da4592,1646645233683,5021,5020,1646645235683,793217303,3.0
OPPO,5020,1646645236683,358dfeb21ce3,1646645233683,4019,5021,1646645235683,1862158042,1.0
OPPO,5020,1646645238683,c7f75dfe0d7b,1646645232683,5029,5020,1646645235683,1361765868,1.0
HUAWEI,5021,0,b074bf014230,1646645234683,5020,4020,1646645235683,1501271966,3.0
OPPO,5021,0,a586cc2fd67a,1646645233683,4017,4017,1646645235683,1025032610,1.0
VIVO,5021,1646645238683,8c6b24ec647d,1646645232683,5029,4020,1646645235683,1661841108,2.0
XIAOMI,4017,1646645237683,d38629f9d704,1646645234683,5021,4019,1646645235683,700994676,2.0
HUAWEI,4020,1646645237683,376df5e5f617,1646645234683,4017,5029,1646645235683,2068743693,1.0
HUAWEI,5021,1646645238683,6304a7ae16f8,1646645232683,5029,4019,1646645235683,1026933097,3.0
HUAWEI,4019,1646645236683,c47884769e03,1646645232683,5029,4019,1646645235683,2023745615,3.0
VIVO,4017,1646645236683,f0cca454b26c,1646645232683,4017,4019,1646645235683,1165674080,1.0
VIVO,5021,1646645237683,86fd8c19466c,1646645232683,5020,5020,1646645235683,2093206626,2.0
XIAOMI,4019,1646645237683,99d864936940,1646645234683,5021,4019,1646645235683,668216699,2.0
OPPO,5029,1646645238683,92bc582b0110,1646645232683,5020,5029,1646645235683,2063077094,3.0
XIAOMI,5021,0,3392d58db0f1,1646645233683,4017,5029,1646645235683,258677244,2.0
APPLE,5021,1646645236683,0745e2dc17aa,1646645234683,5020,4017,1646645235683,1266106616,1.0
APPLE,4017,1646645238683,d91fec9acf6a,1646645234683,5021,4017,1646645235683,1305194909,1.0
HUAWEI,5029,1646645237683,8f39d2da166a,1646645234683,4020,4020,1646645235683,1735603997,2.0
HUAWEI,4020,1646645236683,924bf01ef626,1646645232683,4019,5021,1646645235683,1703154397,3.0
HUAWEI,5020,0,5a06114a8ea0,1646645234683,4019,4017,1646645235683,776557095,1.0
VIVO,5021,0,186d89d92428,1646645232683,4019,4017,1646645235683,1453306767,2.0
APPLE,4020,0,b86398b06204,1646645232683,4017,4019,1646645235683,1985251889,3.0
HUAWEI,4020,1646645238683,3643dc2bc44c,1646645232683,5021,5020,1646645235683,1170568043,3.0
OPPO,5029,1646645238683,9094f0cf317f,1646645233683,5029,5020,1646645235683,450865311,1.0
APPLE,5021,1646645237683,20500bbc6702,1646645233683,4019,5021,1646645235683,127343153,3.0
XIAOMI,5029,1646645237683,a13e80ef05ef,1646645234683,5021,5020,1646645235683,1011827877,2.0
VIVO,4019,1646645236683,a1570644ee70,1646645232683,4017,4019,1646645235683,1920695575,1.0
OPPO,4020,0,318b890881f4,1646645232683,4020,5029,1646645235683,1578977569,3.0
OPPO,4017,1646645237683,15475a32201e,1646645234683,4017,5029,1646645235683,1865482319,3.0
APPLE,4017,1646645237683,8ae6cbf78c30,1646645232683,5021,5029,1646645235683,1097683755,3.0
OPPO,5029,1646645236683,e28d4a06e924,1646645232683,5020,4019,1646645235683,1667931322,1.0
APPLE,5021,0,dfeb96dbbc88,1646645234683,5021,5020,1646645235683,1500517105,3.0
VIVO,4017,1646645236683,921b15a2ce15,1646645232683,5029,5029,1646645235683,810941600,3.0
VIVO,5020,0,174e36f7dcca,1646645232683,4017,5020,1646645235683,1046533714,1.0
OPPO,5029,1646645238683,e73990bfbebd,1646645233683,4019,4017,1646645235683,641111901,2.0
HUAWEI,5021,0,809fa1740f8d,1646645233683,5021,5020,1646645235683,597599287,2.0
VIVO,4020,1646645238683,664434c5c87e,1646645233683,4019,4020,1646645235683,1933232885,2.0
APPLE,4017,0,0e43f6527509,1646645234683,5020,5021,1646645235683,1685107476,3.0
OPPO,4019,1646645238683,23f322717c5c,1646645232683,5029,5020,1646645235683,882342386,3.0
OPPO,5020,1646645237683,268c560247a0,1646645234683,4017,4019,1646645235683,939095020,2.0
XIAOMI,4017,1646645236683,45d67f8d9362,1646645233683,5029,5021,1646645235683,45485583,1.0
VIVO,4019,1646645237683,df171fecc3de,1646645232683,4019,5021,1646645235683,1087262108,3.0
HUAWEI,4017,1646645237683,14913a76d288,1646645234683,5029,4017,1646645235683,1420376628,3.0
APPLE,5029,1646645236683,080ca459faa5,1646645234683,5020,4017,1646645235683,2014236635,3.0
OPPO,4017,1646645236683,6ea001f5fba5,1646645234683,4019,5021,1646645235683,2035506010,2.0
APPLE,4019,0,971b379a4f4a,1646645233683,4019,5021,1646645235683,1928305304,2.0
APPLE,5021,1646645236683,77c04acf6f7f,1646645233683,5029,4019,1646645235683,1932044331,3.0
HUAWEI,5020,1646645237683,b3557e84e679,1646645234683,4020,5021,1646645235683,50311306,3.0
XIAOMI,5029,1646645238683,1e8c603cb3dc,1646645232683,5020,5020,1646645235683,542404243,2.0
XIAOMI,4019,1646645238683,81d77e5263ea,1646645232683,5029,4020,1646645235683,2019877269,3.0
VIVO,4019,1646645238683,57ae88bc473a,1646645233683,4017,5020,1646645235683,1892137071,3.0
XIAOMI,5021,1646645237683,5115a77569e0,1646645233683,5029,5020,1646645235683,2010970396,2.0
VIVO,4019,1646645237683,3d18820f9510,1646645233683,4017,5020,1646645235683,1290880199,2.0
OPPO,4019,1646645236683,b38bf8b2c6c5,1646645232683,5020,5021,1646645235683,190055098,2.0
HUAWEI,4019,0,500f0b6fb370,1646645233683,4019,4020,1646645235683,1186765753,3.0
OPPO,5021,1646645236683,03a0197f3174,1646645232683,4019,4020,1646645235683,938591912,1.0
VIVO,4017,1646645238683,4681c29a7b68,1646645233683,5020,5021,1646645235683,1720259322,3.0
HUAWEI,5029,1646645238683,64b34f86f63b,1646645234683,5020,4020,1646645235683,1154811921,2.0
HUAWEI,4017,1646645236683,6f043f819538,1646645233683,5021,4019,1646645235683,960473922,1.0
VIVO,4020,0,9784695d0722,1646645232683,4017,4020,1646645235683,928745351,3.0
XIAOMI,4020,1646645238683,f588f4b71c44,1646645232683,5029,5021,1646645235683,467282037,1.0
APPLE,4020,0,70d1bae0311a,1646645233683,5020,4019,1646645235683,826492844,3.0
